H	Summary
H	SCFiller:false
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_CYT_050316_2016_05_03_09_33950/search/projects2016_05_09_15_84074/
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_NUC_050316_2016_05_03_09_33951/search/projects2016_05_09_16_84075/
SLine	dataset	intersection	intersection	unique	all_union
S	dataset	EXP19_CYT_050316(searched:2016-05-09)	EXP19_NUC_050316(searched:2016-05-09)
S	EXP19_CYT_050316(searched:2016-05-09)	6984	3077	3907	9068	
S	EXP19_NUC_050316(searched:2016-05-09)	3077	5161	2084	9068	


S	CumulativeProteinCounts	6984	9068	

PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status
P	tr|F5H442|F5H442_HUMAN	2	0	4.6241516E-5	0	0.22461617	0	2	0	8.8%	0	Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=2 SV=1 	1	1_0_	1_0_
P	Q06323-2	2	0	6.7512614E-5	0	0.55596566	0	2	0	19.2%	0	Isoform 2 of Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 	1	1_0_	1_0_
P	Q9P289-2	0	1	0	3.887587E-5	0	0.12201846	0	1	0	5.0%	Isoform 2 of Serine/threonine-protein kinase MST4 OS=Homo sapiens GN=MST4 	1	0_1_	0_1_
P	Q9P289-3	0	1	0	3.7228587E-5	0	0.11686325	0	1	0	4.8%	Isoform 3 of Serine/threonine-protein kinase MST4 OS=Homo sapiens GN=MST4 	1	0_1_	0_1_
P	tr|K7EJ81|K7EJ81_HUMAN	4	28	3.5089713E-5	4.7948255E-4	0.071519256	0.56314766	4	35	3.0%	19.4%	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=2 SV=1 	2	1_1_	1_1_
P	tr|E7EML0|E7EML0_HUMAN	1	0	1.129729E-5	0	0.09395635	0	1	0	3.9%	0	Electroneutral sodium bicarbonate exchanger 1 OS=Homo sapiens GN=SLC4A8 PE=2 SV=1 	1	1_0_	1_0_
P	P28482-2	11	2	2.937653E-4	8.341089E-5	0.9815271	0.35831344	11	2	29.7%	13.3%	Isoform 2 of Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 	2	1_1_	1_1_
P	Q9UEE9	2	0	5.644867E-5	0	0.19398808	0	2	0	7.7%	0	Craniofacial development protein 1 OS=Homo sapiens GN=CFDP1 PE=1 SV=1 	1	1_0_	1_0_
P	P46108-2	5	2	4.9641624E-4	1.292051E-4	0.4521116	0.21059811	12	2	16.2%	8.3%	Isoform Crk-I of Adapter molecule crk OS=Homo sapiens GN=CRK 	2	1_1_	1_1_
P	tr|H0YNX6|H0YNX6_HUMAN	20	3	8.3061773E-4	2.5942756E-4	2.2809527	0.77010894	25	5	51.6%	24.8%	Electron transfer flavoprotein subunit alpha, mitochondrial (Fragment) OS=Homo sapiens GN=ETFA PE=4 SV=1 	2	1_1_	1_1_
P	tr|E7ERH4|E7ERH4_HUMAN	0	3	0	2.6183284E-4	0	0.46554792	0	3	0	16.6%	Cytoplasmic dynein 1 intermediate chain 2 (Fragment) OS=Homo sapiens GN=DYNC1I2 PE=2 SV=1 	1	0_1_	0_1_
P	tr|G5E9Q2|G5E9Q2_HUMAN	12	4	1.4998359E-4	7.807417E-5	0.24451458	0.049542427	15	5	9.5%	2.1%	Cold shock domain containing E1, RNA-binding, isoform CRA_d OS=Homo sapiens GN=CSDE1 PE=2 SV=1 	2	1_1_	1_1_
P	tr|B7Z9C2|B7Z9C2_HUMAN	0	7	0	2.6433362E-4	0	0.30918193	0	7	0	11.7%	Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=2 SV=1 	1	0_1_	0_1_
P	Q9BTY2	1	0	1.8070827E-5	0	0.08642566	0	1	0	3.6%	0	Plasma alpha-L-fucosidase OS=Homo sapiens GN=FUCA2 PE=1 SV=2 	1	1_0_	1_0_
P	Q9BX40-2	7	13	1.7535742E-4	6.5038825E-4	0.19674051	0.4321879	8	19	7.8%	15.6%	Isoform 2 of Protein LSM14 homolog B OS=Homo sapiens GN=LSM14B 	2	1_1_	1_1_
P	Q8WWM7-7	3	0	8.460227E-5	0	0.12979591	0	4	0	5.3%	0	Isoform 7 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L 	1	1_0_	1_0_
P	Q8WWM7-6	3	2	3.4872213E-5	2.722917E-5	0.0519619	0.19949937	4	2	2.2%	7.9%	Isoform 6 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L 	2	1_1_	1_1_
P	tr|F8VQ10|F8VQ10_HUMAN	12	24	2.28598E-4	7.437314E-4	0.61435854	0.7179084	12	25	20.8%	23.5%	Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=2 SV=1 	2	1_1_	1_1_
P	Q8WWM7-5	3	2	3.2333624E-5	2.5246973E-5	0.04712856	0.18304157	4	2	2.0%	7.3%	Isoform 5 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L 	2	1_1_	1_1_
P	Q8WWM7-4	3	2	3.2333624E-5	2.5246973E-5	0.04712856	0.18304157	4	2	2.0%	7.3%	Isoform 4 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L 	2	1_1_	1_1_
P	Q8WWM7-9	3	2	3.1785596E-5	2.4819057E-5	0.04712856	0.18032062	4	2	2.0%	7.2%	Isoform 9 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L 	2	1_1_	1_1_
P	Q8WWM7-8	3	2	3.2333624E-5	2.5246973E-5	0.04712856	0.18304157	4	2	2.0%	7.3%	Isoform 8 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L 	2	1_1_	1_1_
P	Q8WWM7-3	3	2	3.0771473E-5	2.40272E-5	0.044720173	0.17219532	4	2	1.9%	6.9%	Isoform 3 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L 	2	1_1_	1_1_
P	Q8WWM7-2	3	2	3.1785596E-5	2.4819057E-5	0.04712856	0.18032062	4	2	2.0%	7.2%	Isoform 2 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L 	2	1_1_	1_1_
P	P60174	33	6	0.0011802904	3.686411E-4	2.372873	0.2618276	40	8	52.8%	10.1%	Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3 	2	1_1_	1_1_
P	Q9BTW9	9	0	9.2036906E-5	0	0.22179961	0	13	0	8.7%	0	Tubulin-specific chaperone D OS=Homo sapiens GN=TBCD PE=1 SV=2 	1	1_0_	1_0_
P	Q9BU89	2	0	5.5887922E-5	0	0.21059811	0	2	0	8.3%	0	Deoxyhypusine hydroxylase OS=Homo sapiens GN=DOHH PE=1 SV=1 	1	1_0_	1_0_
P	tr|K7EIE4|K7EIE4_HUMAN	4	0	3.2251247E-4	0	0.3614447	0	6	0	13.4%	0	Septin-9 (Fragment) OS=Homo sapiens GN=SEPT9 PE=2 SV=1 	1	1_0_	1_0_
P	tr|E7EMU4|E7EMU4_HUMAN	0	3	0	1.847512E-4	0	0.30918193	0	3	0	11.7%	Cytoplasmic dynein 1 intermediate chain 2 (Fragment) OS=Homo sapiens GN=DYNC1I2 PE=2 SV=1 	1	0_1_	0_1_
P	Q9BTV4	4	0	8.439076E-5	0	0.5417005	0	4	0	18.8%	0	Transmembrane protein 43 OS=Homo sapiens GN=TMEM43 PE=1 SV=1 	1	1_0_	1_0_
P	Q9BTV5	17	14	3.572996E-4	4.7826723E-4	0.73780084	0.62929606	21	18	24.0%	21.2%	Fibronectin type III and SPRY domain-containing protein 1 OS=Homo sapiens GN=FSD1 PE=1 SV=1 	2	1_1_	1_1_
P	Q9BTU6	4	0	7.047245E-5	0	0.24738348	0	4	0	9.6%	0	Phosphatidylinositol 4-kinase type 2-alpha OS=Homo sapiens GN=PI4K2A PE=1 SV=1 	1	1_0_	1_0_
P	tr|E9PLH9|E9PLH9_HUMAN	1	0	7.091661E-5	0	0.7864876	0	1	0	25.2%	0	GDP-L-fucose synthase (Fragment) OS=Homo sapiens GN=TSTA3 PE=2 SV=1 	1	1_0_	1_0_
P	Q9BTT0	5	0	1.5744545E-4	0	0.4859357	0	5	0	17.2%	0	Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens GN=ANP32E PE=1 SV=1 	1	1_0_	1_0_
P	O14979-2	8	51	2.5233117E-4	0.0026270272	0.41253757	1.9174271	9	60	15.0%	46.5%	Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL 	2	1_1_	1_1_
P	O14979-3	8	51	3.112774E-4	0.003240718	0.5275661	2.74973	9	60	18.4%	57.4%	Isoform 3 of Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL 	2	1_1_	1_1_
P	tr|F8VNT9|F8VNT9_HUMAN	1	0	6.34517E-5	0	0.23026884	0	1	0	9.0%	0	CD63 antigen (Fragment) OS=Homo sapiens GN=CD63 PE=2 SV=1 	1	1_0_	1_0_
P	P31273	0	2	0	1.0891668E-4	0	0.18576872	0	2	0	7.4%	Homeobox protein Hox-C8 OS=Homo sapiens GN=HOXC8 PE=1 SV=2 	1	0_1_	0_1_
P	Q16881-4	27	1	5.5137335E-4	2.3918185E-5	1.0606298	0.06414306	36	1	31.4%	2.7%	Isoform 4 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 	2	1_1_	1_1_
P	Q16881-5	27	1	6.088312E-4	2.641066E-5	1.22331	0.071519256	36	1	34.7%	3.0%	Isoform 5 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 	2	1_1_	1_1_
P	Q16881-2	27	1	5.5949675E-4	2.427057E-5	1.084491	0.06659615	36	1	31.9%	2.8%	Isoform 2 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 	2	1_1_	1_1_
P	Q16881-3	27	1	5.0803804E-4	2.2038326E-5	0.94536006	0.059253693	36	1	28.9%	2.5%	Isoform 3 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 	2	1_1_	1_1_
P	Q16881-6	27	1	4.947993E-4	2.1464039E-5	0.914256	0.05681753	36	1	28.2%	2.4%	Isoform 6 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 	2	1_1_	1_1_
P	Q6UUV7	1	0	1.3633403E-5	0	0.049542427	0	1	0	2.1%	0	CREB-regulated transcription coactivator 3 OS=Homo sapiens GN=CRTC3 PE=1 SV=2 	1	1_0_	1_0_
P	tr|B4E2P2|B4E2P2_HUMAN	5	2	2.1310798E-4	1.9968061E-4	0.23310483	0.17760599	5	3	9.1%	7.1%	Translocon-associated protein subunit gamma OS=Homo sapiens GN=SSR3 PE=2 SV=1 	2	1_1_	1_1_
P	Q9UKM9-2	0	9	0	4.0900096E-4	0	0.61064565	0	9	0	20.7%	Isoform 1 of RNA-binding protein Raly OS=Homo sapiens GN=RALY 	1	0_1_	0_1_
P	tr|S4R389|S4R389_HUMAN	0	12	0	2.760744E-4	0	0.3520726	0	19	0	13.1%	Neural cell adhesion molecule 1 (Fragment) OS=Homo sapiens GN=NCAM1 PE=4 SV=1 	1	0_1_	0_1_
P	tr|C9J0K6|C9J0K6_HUMAN	6	0	3.266739E-4	0	0.38675582	0	6	0	14.2%	0	Sorcin OS=Homo sapiens GN=SRI PE=2 SV=1 	1	1_0_	1_0_
P	Q9BV38	1	1	1.9534898E-5	3.0506759E-5	0.044720173	0.09395635	1	1	1.9%	3.9%	WD repeat-containing protein 18 OS=Homo sapiens GN=WDR18 PE=1 SV=2 	2	1_1_	1_1_
P	Q9NV96-3	3	0	1.3948885E-4	0	0.80301774	0	4	0	25.6%	0	Isoform 3 of Cell cycle control protein 50A OS=Homo sapiens GN=TMEM30A 	1	1_0_	1_0_
P	Q9NV96-2	3	0	1.03865554E-4	0	0.552387	0	4	0	19.1%	0	Isoform 2 of Cell cycle control protein 50A OS=Homo sapiens GN=TMEM30A 	1	1_0_	1_0_
P	tr|J3KP15|J3KP15_HUMAN	4	4	3.148909E-4	3.9340058E-4	0.33967674	0.40928876	5	4	12.7%	14.9%	Serine/arginine-rich-splicing factor 2 (Fragment) OS=Homo sapiens GN=SRSF2 PE=2 SV=1 	2	1_1_	1_1_
P	Q9HDC9-2	0	7	0	4.1041616E-4	0	0.6634127	0	9	0	22.1%	Isoform 2 of Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP 	1	0_1_	0_1_
P	tr|B7Z6B8|B7Z6B8_HUMAN	3	3	7.766021E-5	1.6170453E-4	0.2618276	0.16680968	3	4	10.1%	6.7%	2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens GN=DECR1 PE=2 SV=1 	2	1_1_	1_1_
P	Q9BV19	1	0	4.2407417E-5	0	0.29121923	0	1	0	11.1%	0	Uncharacterized protein C1orf50 OS=Homo sapiens GN=C1orf50 PE=1 SV=2 	1	1_0_	1_0_
P	P04844-2	13	9	2.195532E-4	2.1429137E-4	0.3708818	0.27938128	16	10	13.7%	10.7%	Isoform 2 of Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 	2	1_1_	1_1_
P	Q5SYC1	1	0	2.5807572E-5	0	0.13501084	0	1	0	5.5%	0	Clavesin-2 OS=Homo sapiens GN=CLVS2 PE=2 SV=1 	1	1_0_	1_0_
P	Q9BUQ8	0	4	0	6.4287415E-5	0	0.11173177	0	4	0	4.6%	Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens GN=DDX23 PE=1 SV=3 	1	0_1_	0_1_
P	Q9BV29	1	0	4.5616627E-5	0	0.7298163	0	1	0	23.8%	0	Uncharacterized protein C15orf57 OS=Homo sapiens GN=C15orf57 PE=1 SV=2 	1	1_0_	1_0_
P	Q9BUR5	3	1	1.7048638E-4	6.65602E-5	0.5205476	0.20503592	4	1	18.2%	8.1%	Apolipoprotein O OS=Homo sapiens GN=APOO PE=1 SV=1 	2	1_1_	1_1_
P	tr|Q5JR05|Q5JR05_HUMAN	0	3	0	2.6490292E-4	0	0.21618605	0	4	0	8.5%	Rho-related GTP-binding protein RhoC OS=Homo sapiens GN=RHOC PE=2 SV=1 	1	0_1_	0_1_
P	tr|G3V4X6|G3V4X6_HUMAN	3	0	2.5833907E-4	0	0.38995266	0	3	0	14.3%	0	SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens GN=SLIRP PE=2 SV=1 	1	1_0_	1_0_
P	Q5JRX3-2	9	0	7.317118E-5	0	0.22743917	0	9	0	8.9%	0	Isoform 2 of Presequence protease, mitochondrial OS=Homo sapiens GN=PITRM1 	1	1_0_	1_0_
P	Q9BUN8	1	0	3.3621818E-5	0	0.10662377	0	1	0	4.4%	0	Derlin-1 OS=Homo sapiens GN=DERL1 PE=1 SV=1 	1	1_0_	1_0_
P	Q9UEW8	1	0	1.5484544E-5	0	0.11173177	0	1	0	4.6%	0	STE20/SPS1-related proline-alanine-rich protein kinase OS=Homo sapiens GN=STK39 PE=1 SV=3 	1	1_0_	1_0_
P	tr|J3QT77|J3QT77_HUMAN	2	0	4.935132E-5	0	0.11429453	0	2	0	4.7%	0	Serum paraoxonase/arylesterase 2 OS=Homo sapiens GN=PON2 PE=2 SV=1 	1	1_0_	1_0_
P	tr|E9PHA6|E9PHA6_HUMAN	0	2	0	2.8618719E-5	0	0.035142183	0	2	0	1.5%	DNA mismatch repair protein Msh2 OS=Homo sapiens GN=MSH2 PE=2 SV=1 	1	0_1_	0_1_
P	tr|H3BV15|H3BV15_HUMAN	1	0	1.0046519E-4	0	0.38995266	0	1	0	14.3%	0	Nuclear pore complex protein Nup93 (Fragment) OS=Homo sapiens GN=NUP93 PE=2 SV=1 	1	1_0_	1_0_
P	Q9BUP0	1	2	3.5309942E-5	1.1028384E-4	0.101539254	0.101539254	1	2	4.2%	4.2%	EF-hand domain-containing protein D1 OS=Homo sapiens GN=EFHD1 PE=1 SV=1 	2	1_1_	1_1_
P	Q9BUL8	4	0	1.9903481E-4	0	0.47910845	0	5	0	17.0%	0	Programmed cell death protein 10 OS=Homo sapiens GN=PDCD10 PE=1 SV=1 	1	1_0_	1_0_
P	Q14696	5	0	1.8032214E-4	0	0.58854675	0	5	0	20.1%	0	LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2 	1	1_0_	1_0_
P	Q14694	1	6	1.0575283E-5	1.321195E-4	0.035142183	0.09144032	1	8	1.5%	3.8%	Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10 PE=1 SV=2 	2	1_1_	1_1_
P	Q9UEU0	3	0	1.0912599E-4	0	0.28233063	0	3	0	10.8%	0	Vesicle transport through interaction with t-SNAREs homolog 1B OS=Homo sapiens GN=VTI1B PE=1 SV=3 	1	1_0_	1_0_
P	tr|B1AK87|B1AK87_HUMAN	9	13	3.5703785E-4	7.0963416E-4	0.7021586	1.1037784	11	14	23.1%	32.3%	Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_a OS=Homo sapiens GN=CAPZB PE=2 SV=1 	2	1_1_	1_1_
P	tr|D6RFW1|D6RFW1_HUMAN	4	4	1.7310926E-4	4.055052E-4	0.26765192	0.26765192	4	6	10.3%	10.3%	Small glutamine-rich tetratricopeptide repeat-containing protein beta (Fragment) OS=Homo sapiens GN=SGTB PE=2 SV=1 	2	1_1_	1_1_
P	tr|H0YCG0|H0YCG0_HUMAN	0	1	0	2.0275262E-5	0	0.08143401	0	1	0	3.4%	Protein scribble homolog (Fragment) OS=Homo sapiens GN=SCRIB PE=4 SV=1 	1	0_1_	0_1_
P	Q14697	44	8	4.8274375E-4	1.5356792E-4	1.0090928	0.20503592	54	11	30.3%	8.1%	Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3 	2	1_1_	1_1_
P	Q14699	12	2	1.7520573E-4	4.56018E-5	0.58124804	0.19674051	12	2	19.9%	7.8%	Raftlin OS=Homo sapiens GN=RFTN1 PE=1 SV=4 	2	1_1_	1_1_
P	tr|U3KQC1|U3KQC1_HUMAN	1	1	2.1418975E-5	3.3449032E-5	0.04712856	0.10407865	1	1	2.0%	4.3%	WD repeat-containing protein 18 (Fragment) OS=Homo sapiens GN=WDR18 PE=4 SV=1 	2	1_1_	1_1_
P	tr|C9JTD3|C9JTD3_HUMAN	1	0	5.740868E-5	0	0.2647363	0	1	0	10.2%	0	StAR-related lipid transfer protein 7, mitochondrial (Fragment) OS=Homo sapiens GN=STARD7 PE=2 SV=1 	1	1_0_	1_0_
P	Q14669	0	1	0	6.615923E-6	0	0.013911366	0	1	0	0.6%	E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens GN=TRIP12 PE=1 SV=1 	1	0_1_	0_1_
P	Q9BUJ2	5	10	4.929367E-5	2.1554308E-4	0.14815366	0.28528666	5	14	6.0%	10.9%	Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2 	2	1_1_	1_1_
P	Q14677	3	2	5.4010085E-5	4.217254E-5	0.06905484	0.11686325	4	2	2.9%	4.8%	Clathrin interactor 1 OS=Homo sapiens GN=CLINT1 PE=1 SV=1 	2	1_1_	1_1_
P	Q14676	0	1	0	6.308722E-6	0	0.035142183	0	1	0	1.5%	Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens GN=MDC1 PE=1 SV=3 	1	0_1_	0_1_
P	Q969G3-2	0	20	0	9.439447E-4	0	1.1527817	0	26	0	33.3%	Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens GN=SMARCE1 	1	0_1_	0_1_
P	Q969G3-3	0	20	0	0.0010048443	0	1.2646441	0	26	0	35.5%	Isoform 3 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens GN=SMARCE1 	1	0_1_	0_1_
P	Q969G3-4	0	20	0	9.113083E-4	0	1.0989399	0	26	0	32.2%	Isoform 4 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens GN=SMARCE1 	1	0_1_	0_1_
P	Q969G3-5	0	20	0	0.0010446705	0	1.3388374	0	26	0	36.9%	Isoform 5 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens GN=SMARCE1 	1	0_1_	0_1_
P	Q14684	0	1	0	1.738644E-5	0	0.059253693	0	1	0	2.5%	Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens GN=RRP1B PE=1 SV=3 	1	0_1_	0_1_
P	tr|S4R347|S4R347_HUMAN	2	1	5.542907E-5	2.1640262E-5	0.061695576	0.061695576	4	1	2.6%	2.6%	Formin-binding protein 1-like OS=Homo sapiens GN=FNBP1L PE=4 SV=1 	2	1_1_	1_1_
P	Q14683	0	2	0	2.1376998E-5	0	0.06414306	0	2	0	2.7%	Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2 	1	0_1_	0_1_
P	Q4J6C6-4	9	0	1.587287E-4	0	0.46554792	0	12	0	16.6%	0	Isoform 4 of Prolyl endopeptidase-like OS=Homo sapiens GN=PREPL 	1	1_0_	1_0_
P	Q4J6C6-2	9	0	1.5320562E-4	0	0.44543982	0	12	0	16.0%	0	Isoform 2 of Prolyl endopeptidase-like OS=Homo sapiens GN=PREPL 	1	1_0_	1_0_
P	tr|E9PDC3|E9PDC3_HUMAN	7	4	8.827486E-5	5.514192E-5	0.1614486	0.07894671	10	4	6.5%	3.3%	Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens GN=ARVCF PE=2 SV=1 	2	1_1_	1_1_
P	Q969G3-6	0	20	0	0.0011694605	0	1.5882127	0	26	0	41.3%	Isoform 6 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens GN=SMARCE1 	1	0_1_	0_1_
P	P16144-2	1	0	4.816824E-6	0	0.025651932	0	1	0	1.1%	0	Isoform Beta-4A of Integrin beta-4 OS=Homo sapiens GN=ITGB4 	1	1_0_	1_0_
P	P16144-3	1	0	4.6753885E-6	0	0.025651932	0	1	0	1.1%	0	Isoform Beta-4B of Integrin beta-4 OS=Homo sapiens GN=ITGB4 	1	1_0_	1_0_
P	P16144-4	1	0	4.8361467E-6	0	0.025651932	0	1	0	1.1%	0	Isoform Beta-4D of Integrin beta-4 OS=Homo sapiens GN=ITGB4 	1	1_0_	1_0_
P	tr|J3KNJ2|J3KNJ2_HUMAN	0	1	0	6.899958E-5	0	0.24165225	0	1	0	9.4%	Eukaryotic translation initiation factor 3 subunit M (Fragment) OS=Homo sapiens GN=EIF3M PE=2 SV=1 	1	0_1_	0_1_
P	Q9NVS2-2	1	0	3.1255837E-5	0	0.22743917	0	1	0	8.9%	0	Isoform 2 of 28S ribosomal protein S18a, mitochondrial OS=Homo sapiens GN=MRPS18A 	1	1_0_	1_0_
P	Q9NVS2-3	1	0	6.6449415E-5	0	0.54525447	0	1	0	18.9%	0	Isoform 3 of 28S ribosomal protein S18a, mitochondrial OS=Homo sapiens GN=MRPS18A 	1	1_0_	1_0_
P	tr|H3BLU4|H3BLU4_HUMAN	1	0	2.0888801E-5	0	0.1271975	0	1	0	5.2%	0	Homeobox protein Meis3 OS=Homo sapiens GN=MEIS3 PE=2 SV=1 	1	1_0_	1_0_
P	tr|B4DUA9|B4DUA9_HUMAN	0	7	0	5.824937E-4	0	0.33967674	0	8	0	12.7%	Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=2 SV=1 	1	0_1_	0_1_
P	tr|G3V2T4|G3V2T4_HUMAN	2	0	1.2502335E-4	0	0.33659554	0	2	0	12.6%	0	Legumain (Fragment) OS=Homo sapiens GN=LGMN PE=2 SV=1 	1	1_0_	1_0_
P	Q9BUF5	67	42	0.0024408987	0.0019797927	2.908409	1.1577444	129	67	59.2%	33.4%	Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1 	2	1_1_	1_1_
P	tr|Q5VU58|Q5VU58_HUMAN	30	43	0.0011569702	0.0026038995	2.4040818	3.0271707	34	49	53.2%	60.5%	Tropomyosin 3, isoform CRA_b OS=Homo sapiens GN=TPM3 PE=2 SV=1 	2	1_1_	1_1_
P	tr|E9PM69|E9PM69_HUMAN	0	15	0	6.971217E-4	0	0.8365383	0	21	0	26.4%	26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=2 SV=1 	1	0_1_	0_1_
P	tr|H3BQC4|H3BQC4_HUMAN	3	0	1.5555901E-4	0	0.48251808	0	4	0	17.1%	0	Transforming growth factor beta-1-induced transcript 1 protein (Fragment) OS=Homo sapiens GN=TGFB1I1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|R4GNG3|R4GNG3_HUMAN	1	1	1.3165485E-5	2.0559937E-5	0.06659615	0.06659615	1	1	2.8%	2.8%	ARF GTPase-activating protein GIT2 (Fragment) OS=Homo sapiens GN=GIT2 PE=4 SV=1 	2	1_1_	1_1_
P	tr|K7ERC4|K7ERC4_HUMAN	4	0	2.557296E-4	0	0.19949937	0	5	0	7.9%	0	2',3'-cyclic-nucleotide 3'-phosphodiesterase (Fragment) OS=Homo sapiens GN=CNP PE=2 SV=1 	1	1_0_	1_0_
P	tr|F8WEW4|F8WEW4_HUMAN	0	1	0	8.085227E-5	0	0.20226443	0	1	0	8.0%	Protein O-glucosyltransferase 1 OS=Homo sapiens GN=POGLUT1 PE=2 SV=1 	1	0_1_	0_1_
P	tr|H0YJ75|H0YJ75_HUMAN	6	2	1.06823754E-4	7.1495044E-5	0.27938128	0.08642566	7	3	10.7%	3.6%	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (Fragment) OS=Homo sapiens GN=PPP2R5C PE=2 SV=1 	2	1_1_	1_1_
P	P35749	0	11	0	8.019627E-5	0	0.09144032	0	12	0	3.8%	Myosin-11 OS=Homo sapiens GN=MYH11 PE=1 SV=3 	1	0_1_	0_1_
P	tr|B1APJ0|B1APJ0_HUMAN	7	0	4.4157956E-4	0	1.9174271	0	9	0	46.5%	0	Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens GN=TIMM23 PE=2 SV=1 	1	1_0_	1_0_
P	P35754	2	0	1.5922786E-4	0	1.3823195	0	2	0	37.7%	0	Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2 	1	1_0_	1_0_
P	Q9BUE6	1	0	6.54192E-5	0	0.67880404	0	1	0	22.5%	0	Iron-sulfur cluster assembly 1 homolog, mitochondrial OS=Homo sapiens GN=ISCA1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|S4R469|S4R469_HUMAN	1	0	3.606443E-5	0	0.15877736	0	1	0	6.4%	0	RNA-binding protein fox-1 homolog 2 (Fragment) OS=Homo sapiens GN=RBFOX2 PE=4 SV=1 	1	1_0_	1_0_
