PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status	
P	P78347-2	0	21	0	3.17E-04	0	0.5848932	0	23	0	20.00%	Isoform 2 of General transcription factor II-I OS=Homo sapiens GN=GTF2I 	1	0_1_	0_1_
P	P78347-4	0	21	0	3.10E-04	0	0.566751	0	23	0	19.50%	Isoform 4 of General transcription factor II-I OS=Homo sapiens GN=GTF2I 	1	0_1_	0_1_
P	tr|I3L1V0|I3L1V0_HUMAN	2	0	1.31E-04	0	0.25314116	0	3	0	9.80%	0	Monoacylglycerol lipase ABHD12 (Fragment) OS=Homo sapiens GN=ABHD12 PE=2 SV=1 	1	1_0_	1_0_
P	O60493	4	0	2.60E-04	0	1.3442287	0	5	0	37.00%	0	Sorting nexin-3 OS=Homo sapiens GN=SNX3 PE=1 SV=3 	1	1_0_	1_0_
P	tr|B4DQ19|B4DQ19_HUMAN	1	0	1.09E-04	0	0.47231245	0	2	0	16.80%	0	GTP-binding protein SAR1a OS=Homo sapiens GN=SAR1A PE=2 SV=1 	1	1_0_	1_0_
P	Q9NRA8	0	1	0	1.34E-05	0	0.09144032	0	1	0	3.80%	Eukaryotic translation initiation factor 4E transporter OS=Homo sapiens GN=EIF4ENIF1 PE=1 SV=2 	1	0_1_	0_1_
P	tr|F5GX85|F5GX85_HUMAN	4	1	5.07E-05	1.98E-05	0.2618276	0.09900582	4	1	10.10%	4.10%	Tripartite motif-containing protein 3 OS=Homo sapiens GN=TRIM3 PE=2 SV=1 	2	1_1_	1_1_
P	tr|G3XAJ6|G3XAJ6_HUMAN	0	2	0	4.86E-05	0	0.21059811	0	2	0	8.30%	"Raft-linking protein, isoform CRA_c OS=Homo sapiens GN=RFTN1 PE=4 SV=1 "	1	0_1_	0_1_
P	tr|E9PHI9|E9PHI9_HUMAN	2	0	4.82E-05	0	0.08893013	0	2	0	3.70%	0	26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=2 SV=1 	1	1_0_	1_0_
P	P11940	24	19	3.72E-04	4.35E-04	1.0183663	0.6368165	28	21	30.50%	21.40%	Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2 	2	1_1_	1_1_
P	tr|D6RFM5|D6RFM5_HUMAN	9	4	2.90E-04	1.13E-04	0.35518944	0.05681753	20	5	13.20%	2.40%	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=2 SV=1 "	2	1_1_	1_1_
P	O60488	14	3	2.14E-04	5.56E-05	0.38995266	0.11686325	18	3	14.30%	4.80%	Long-chain-fatty-acid--CoA ligase 4 OS=Homo sapiens GN=ACSL4 PE=1 SV=2 	2	1_1_	1_1_
P	tr|H7BZT7|H7BZT7_HUMAN	11	1	6.60E-04	5.73E-05	1.18273	0.25892544	18	1	33.90%	10.00%	S-formylglutathione hydrolase (Fragment) OS=Homo sapiens GN=ESD PE=4 SV=1 	2	1_1_	1_1_
P	Q8TAE8	1	0	3.80E-05	0	0.1561122	0	1	0	6.30%	0	Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1 	1	1_0_	1_0_
P	tr|K7EMM8|K7EMM8_HUMAN	0	5	0	1.76E-04	0	0.2133888	0	7	0	8.40%	Putative oxidoreductase GLYR1 (Fragment) OS=Homo sapiens GN=GLYR1 PE=4 SV=1 	1	0_1_	0_1_
P	Q00325-2	17	4	4.21E-04	1.46E-04	0.27350307	0.25892544	18	4	10.50%	10.00%	"Isoform B of Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 "	2	1_1_	1_1_
P	tr|Q5W143|Q5W143_HUMAN	3	1	1.96E-04	1.53E-04	0.5958791	0.3614447	4	2	20.30%	13.40%	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Homo sapiens GN=NDUFB8 PE=2 SV=1 "	2	1_1_	1_1_
P	tr|K7ES02|K7ES02_HUMAN	6	0	1.59E-04	0	0.23310483	0	6	0	9.10%	0	Bleomycin hydrolase (Fragment) OS=Homo sapiens GN=BLMH PE=2 SV=1 	1	1_0_	1_0_
P	P29400-2	1	0	4.99E-06	0	0.0519619	0	1	0	2.20%	0	Isoform 2 of Collagen alpha-5(IV) chain OS=Homo sapiens GN=COL4A5 	1	1_0_	1_0_
P	Q9NQZ5	1	0	2.28E-05	0	0.09900582	0	1	0	4.10%	0	"StAR-related lipid transfer protein 7, mitochondrial OS=Homo sapiens GN=STARD7 PE=1 SV=2 "	1	1_0_	1_0_
P	tr|B4E0V0|B4E0V0_HUMAN	1	0	1.02E-04	0	0.3001696	0	2	0	11.40%	0	Pyridoxine-5'-phosphate oxidase OS=Homo sapiens GN=PNPO PE=2 SV=1 	1	1_0_	1_0_
P	tr|E5RHJ2|E5RHJ2_HUMAN	2	0	1.49E-04	0	0.4421153	0	2	0	15.90%	0	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=2 SV=1 	1	1_0_	1_0_
P	tr|G5E965|G5E965_HUMAN	0	2	0	4.66E-05	0	0.09395635	0	2	0	3.90%	"Forkhead box P1, isoform CRA_f OS=Homo sapiens GN=FOXP1 PE=2 SV=1 "	1	0_1_	0_1_
P	Q9BY67-4	15	2	4.66E-04	5.82E-05	0.46554792	0.28233063	25	2	16.60%	10.80%	Isoform 4 of Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 	2	1_1_	1_1_
P	Q9BY67-3	15	2	4.48E-04	5.60E-05	0.4421153	0.2705741	25	2	15.90%	10.40%	Isoform 3 of Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 	2	1_1_	1_1_
P	Q9BY67-5	15	2	5.10E-04	6.37E-05	0.5170504	0.31219995	25	2	18.10%	11.80%	Isoform 5 of Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 	2	1_1_	1_1_
P	Q06481-2	2	0	2.39E-05	0	0.1271975	0	2	0	5.20%	0	Isoform 2 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 	1	1_0_	1_0_
P	tr|A8MW61|A8MW61_HUMAN	0	4	0	1.54E-04	0	0.22743917	0	6	0	8.90%	Pleiotropic regulator 1 OS=Homo sapiens GN=PLRG1 PE=2 SV=1 	1	0_1_	0_1_
P	Q06481-3	2	0	2.25E-05	0	0.11943793	0	2	0	4.90%	0	Isoform 3 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 	1	1_0_	1_0_
P	Q06481-4	2	0	2.43E-05	0	0.12979591	0	2	0	5.30%	0	Isoform 4 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 	1	1_0_	1_0_
P	Q06481-5	2	0	3.23E-05	0	0.17760599	0	2	0	7.10%	0	Isoform 5 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 	1	1_0_	1_0_
P	Q06481-6	2	0	2.22E-05	0	0.11943793	0	2	0	4.90%	0	Isoform 6 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 	1	1_0_	1_0_
P	O43175	7	1	1.11E-04	2.47E-05	0.31825674	0.035142183	7	1	12.00%	1.50%	D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4 	2	1_1_	1_1_
P	Q9NQW7	19	2	3.93E-04	4.23E-05	0.8407719	0.11686325	29	2	26.50%	4.80%	Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3 	2	1_1_	1_1_
P	O43181	2	0	9.64E-05	0	0.62554884	0	2	0	21.10%	0	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Homo sapiens GN=NDUFS4 PE=1 SV=1 "	1	1_0_	1_0_
P	Q8TAB3	2	0	1.47E-05	0	0.044720173	0	2	0	1.90%	0	Protocadherin-19 OS=Homo sapiens GN=PCDH19 PE=1 SV=3 	1	1_0_	1_0_
P	tr|F5GYH1|F5GYH1_HUMAN	1	0	7.67E-05	0	0.33967674	0	1	0	12.70%	0	Adaptin ear-binding coat-associated protein 1 OS=Homo sapiens GN=NECAP1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|G3V3H3|G3V3H3_HUMAN	36	7	5.54E-04	1.73E-04	1.3067472	0.39958727	40	8	36.30%	14.60%	Kinesin light chain 1 OS=Homo sapiens GN=KLC1 PE=2 SV=1 	2	1_1_	1_1_
P	Q9NQX3	9	2	1.49E-04	3.58E-05	0.46554792	0.101539254	13	2	16.60%	4.20%	Gephyrin OS=Homo sapiens GN=GPHN PE=1 SV=1 	2	1_1_	1_1_
P	Q9NQX5	2	0	7.79E-05	0	0.10407865	0	3	0	4.30%	0	Neural proliferation differentiation and control protein 1 OS=Homo sapiens GN=NPDC1 PE=1 SV=2 	1	1_0_	1_0_
P	Q02410-2	2	0	2.04E-05	0	0.05681753	0	2	0	2.40%	0	Isoform 2 of Amyloid beta A4 precursor protein-binding family A member 1 OS=Homo sapiens GN=APBA1 	1	1_0_	1_0_
P	tr|F5H1R9|F5H1R9_HUMAN	3	1	6.81E-05	3.54E-05	0.09144032	0.09144032	3	1	3.80%	3.80%	Alpha-parvin OS=Homo sapiens GN=PARVA PE=2 SV=1 	2	1_1_	1_1_
P	P55327	13	1	6.40E-04	1.18E-04	1.0511622	0.46217716	17	2	31.20%	16.50%	Tumor protein D52 OS=Homo sapiens GN=TPD52 PE=1 SV=2 	2	1_1_	1_1_
P	Q9NR45	19	2	5.41E-04	7.34E-05	1.3604782	0.11429453	23	2	37.30%	4.70%	Sialic acid synthase OS=Homo sapiens GN=NANS PE=1 SV=2 	2	1_1_	1_1_
P	Q9NR46	6	0	1.71E-04	0	0.7498466	0	8	0	24.30%	0	Endophilin-B2 OS=Homo sapiens GN=SH3GLB2 PE=1 SV=1 	1	1_0_	1_0_
P	O60443	3	0	5.10E-05	0	0.20503592	0	3	0	8.10%	0	Non-syndromic hearing impairment protein 5 OS=Homo sapiens GN=DFNA5 PE=1 SV=2 	1	1_0_	1_0_
P	Q9NQS1	1	0	2.33E-05	0	0.1271975	0	1	0	5.20%	0	Cell death regulator Aven OS=Homo sapiens GN=AVEN PE=1 SV=1 	1	1_0_	1_0_
P	tr|E9PKU7|E9PKU7_HUMAN	0	8	0	1.70E-04	0	0.22743917	0	11	0	8.90%	Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=2 SV=1 	1	0_1_	0_1_
P	P43378	1	0	1.42E-05	0	0.11173177	0	1	0	4.60%	0	Tyrosine-protein phosphatase non-receptor type 9 OS=Homo sapiens GN=PTPN9 PE=1 SV=1 	1	1_0_	1_0_
P	tr|J3KN00|J3KN00_HUMAN	3	0	1.12E-04	0	0.35518944	0	3	0	13.20%	0	"NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex, 13 OS=Homo sapiens GN=NDUFA13 PE=4 SV=1 "	1	1_0_	1_0_
P	tr|B1AM49|B1AM49_HUMAN	32	43	7.85E-04	0.001975135	1.4717243	1.5003455	36	58	39.30%	39.80%	ELAV-like protein 2 OS=Homo sapiens GN=ELAVL2 PE=2 SV=1 	2	1_1_	1_1_
P	Q9NR56	0	1	0	3.40E-05	0	0.18850219	0	1	0	7.50%	Muscleblind-like protein 1 OS=Homo sapiens GN=MBNL1 PE=1 SV=2 	1	0_1_	0_1_
P	tr|F8VW41|F8VW41_HUMAN	1	0	9.82E-06	0	0.03038609	0	1	0	1.30%	0	Phosphofurin acidic cluster sorting protein 2 OS=Homo sapiens GN=PACS2 PE=2 SV=1 	1	1_0_	1_0_
P	Q9NR50	1	0	3.73E-05	0	0.16412604	0	2	0	6.60%	0	Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens GN=EIF2B3 PE=1 SV=1 	1	1_0_	1_0_
P	Q08AD1-3	5	0	3.43E-05	0	0.04231739	0	6	0	1.80%	0	Isoform 3 of Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens GN=CAMSAP2 	1	1_0_	1_0_
P	Q08AD1-2	5	0	3.46E-05	0	0.04231739	0	6	0	1.80%	0	Isoform 2 of Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens GN=CAMSAP2 	1	1_0_	1_0_
P	tr|F8WCY5|F8WCY5_HUMAN	23	2	8.82E-04	7.87E-05	1.6363313	0.40928876	35	2	42.10%	14.90%	Reticulocalbin-2 OS=Homo sapiens GN=RCN2 PE=2 SV=1 	2	1_1_	1_1_
P	O60422	0	1	0	2.67E-05	0	0.0519619	0	1	0	2.20%	One cut domain family member 3 OS=Homo sapiens GN=ONECUT3 PE=2 SV=2 	1	0_1_	0_1_
P	tr|F8VR76|F8VR76_HUMAN	2	0	2.64E-04	0	5.729767	0	2	0	82.80%	0	Protein phosphatase 1 regulatory subunit 1A OS=Homo sapiens GN=PPP1R1A PE=2 SV=1 	1	1_0_	1_0_
P	tr|S4R2X2|S4R2X2_HUMAN	0	1	0	7.45E-05	0	0.55596566	0	1	0	19.20%	Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=4 SV=1 	1	0_1_	0_1_
P	Q9NR28	14	5	6.71E-04	3.31E-04	1.6181829	1.118361	19	6	41.80%	32.60%	"Diablo homolog, mitochondrial OS=Homo sapiens GN=DIABLO PE=1 SV=1 "	2	1_1_	1_1_
P	Q9NR31	1	0	8.52E-05	0	0.3520726	0	2	0	13.10%	0	GTP-binding protein SAR1a OS=Homo sapiens GN=SAR1A PE=1 SV=1 	1	1_0_	1_0_
P	Q9NR30	0	4	0	6.73E-05	0	0.13762724	0	4	0	5.60%	Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5 	1	0_1_	0_1_
P	tr|H0YKH6|H0YKH6_HUMAN	4	0	1.89E-04	0	0.1428783	0	5	0	5.80%	0	Ceramide synthase 2 (Fragment) OS=Homo sapiens GN=CERS2 PE=2 SV=1 	1	1_0_	1_0_
P	Q9NQR4	2	0	6.12E-05	0	0.40928876	0	2	0	14.90%	0	Omega-amidase NIT2 OS=Homo sapiens GN=NIT2 PE=1 SV=1 	1	1_0_	1_0_
P	Q13564-2	2	0	3.20E-05	0	0.044720173	0	2	0	1.90%	0	Isoform 2 of NEDD8-activating enzyme E1 regulatory subunit OS=Homo sapiens GN=NAE1 	1	1_0_	1_0_
P	tr|E9PNS3|E9PNS3_HUMAN	0	2	0	3.29E-04	0	0.4962356	0	2	0	17.50%	Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=2 SV=1 	1	0_1_	0_1_
P	tr|Q5T8Z1|Q5T8Z1_HUMAN	2	1	3.18E-04	2.49E-04	0.68267405	0.68267405	2	1	22.60%	22.60%	Protein COMMD3-BMI1 (Fragment) OS=Homo sapiens GN=COMMD3-BMI1 PE=2 SV=2 	2	1_1_	1_1_
P	Q9BXS5-2	2	0	3.88E-05	0	0.15345323	0	2	0	6.20%	0	Isoform 2 of AP-1 complex subunit mu-1 OS=Homo sapiens GN=AP1M1 	1	1_0_	1_0_
P	Q9NR19	2	0	3.61E-05	0	0.061695576	0	3	0	2.60%	0	"Acetyl-coenzyme A synthetase, cytoplasmic OS=Homo sapiens GN=ACSS2 PE=1 SV=1 "	1	1_0_	1_0_
P	Q9NR12	0	9	0	2.60E-04	0	1.004472	0	9	0	30.20%	PDZ and LIM domain protein 7 OS=Homo sapiens GN=PDLIM7 PE=1 SV=1 	1	0_1_	0_1_
P	Q9NQP4	5	0	4.41E-04	0	1.0230191	0	7	0	30.60%	0	Prefoldin subunit 4 OS=Homo sapiens GN=PFDN4 PE=1 SV=1 	1	1_0_	1_0_
P	Q96I15-2	2	0	7.99E-05	0	0.14815366	0	3	0	6.00%	0	Isoform 2 of Selenocysteine lyase OS=Homo sapiens GN=SCLY 	1	1_0_	1_0_
P	Q8N684-3	2	11	3.28E-05	4.62E-04	0.11943793	0.3614447	2	18	4.90%	13.40%	Isoform 3 of Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7 	2	1_1_	1_1_
P	Q8N684-2	2	11	3.65E-05	5.13E-04	0.1324004	0.40928876	2	18	5.40%	14.90%	Isoform 2 of Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7 	2	1_1_	1_1_
P	Q16864-2	10	0	7.46E-04	0	2.784426	0	13	0	57.80%	0	Isoform 2 of V-type proton ATPase subunit F OS=Homo sapiens GN=ATP6V1F 	1	1_0_	1_0_
P	Q93050-3	0	10	0	2.20E-04	0	0.51356125	0	14	0	18.00%	Isoform 3 of V-type proton ATPase 116 kDa subunit a isoform 1 OS=Homo sapiens GN=ATP6V0A1 	1	0_1_	0_1_
P	Q93050-1	34	10	3.96E-04	2.22E-04	0.62554884	0.5205476	39	14	21.10%	18.20%	Isoform 2 of V-type proton ATPase 116 kDa subunit a isoform 1 OS=Homo sapiens GN=ATP6V0A1 	2	1_1_	1_1_
P	tr|F5H897|F5H897_HUMAN	45	6	7.52E-04	1.42E-04	1.3933158	0.16412604	58	7	37.90%	6.60%	"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=2 SV=1 "	2	1_1_	1_1_
P	P55345	2	0	5.85E-05	0	0.13501084	0	3	0	5.50%	0	Protein arginine N-methyltransferase 2 OS=Homo sapiens GN=PRMT2 PE=1 SV=1 	1	1_0_	1_0_
P	O43148	7	13	1.24E-04	4.43E-04	0.3489629	0.3489629	7	16	13.00%	13.00%	mRNA cap guanine-N7 methyltransferase OS=Homo sapiens GN=RNMT PE=1 SV=1 	2	1_1_	1_1_
P	O43143	4	5	4.25E-05	8.29E-05	0.035142183	0.10917485	4	5	1.50%	4.50%	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2 	2	1_1_	1_1_
P	Q13045-2	5	5	4.17E-05	8.68E-05	0.09900582	0.09144032	6	8	4.10%	3.80%	Isoform 2 of Protein flightless-1 homolog OS=Homo sapiens GN=FLII 	2	1_1_	1_1_
P	Q13045-3	5	5	4.02E-05	8.38E-05	0.096478224	0.08893013	6	8	4.00%	3.70%	Isoform 3 of Protein flightless-1 homolog OS=Homo sapiens GN=FLII 	2	1_1_	1_1_
P	tr|E9PQ61|E9PQ61_HUMAN	0	1	0	2.02E-05	0	0.032761455	0	1	0	1.40%	Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens GN=ZC3H11A PE=2 SV=1 	1	0_1_	0_1_
P	O43156	1	0	7.75E-06	0	0.03992021	0	1	0	1.70%	0	TELO2-interacting protein 1 homolog OS=Homo sapiens GN=TTI1 PE=1 SV=3 	1	1_0_	1_0_
P	P43304	2	0	2.32E-05	0	0.028016329	0	2	0	1.20%	0	"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens GN=GPD2 PE=1 SV=3 "	1	1_0_	1_0_
P	O43172	0	4	0	1.01E-04	0	0.14551294	0	4	0	5.90%	U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2 	1	0_1_	0_1_
P	O43164	4	0	4.77E-05	0	0.19124198	0	4	0	7.60%	0	E3 ubiquitin-protein ligase Praja-2 OS=Homo sapiens GN=PJA2 PE=1 SV=4 	1	1_0_	1_0_
P	O43169	11	5	7.51E-04	5.42E-04	1.0989399	1.0989399	13	6	32.20%	32.20%	Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2 	2	1_1_	1_1_
P	tr|K7EQ91|K7EQ91_HUMAN	1	0	3.09E-05	0	0.2133888	0	1	0	8.40%	0	Zinc transporter ZIP6 (Fragment) OS=Homo sapiens GN=SLC39A6 PE=2 SV=1 	1	1_0_	1_0_
P	tr|C9JQ75|C9JQ75_HUMAN	5	1	2.71E-04	7.05E-05	0.8281002	0.3273945	6	1	26.20%	12.30%	B-cell receptor-associated protein 31 (Fragment) OS=Homo sapiens GN=BCAP31 PE=2 SV=1 	2	1_1_	1_1_
P	P13073	14	1	6.99E-04	7.80E-05	0.79473364	0.24451458	14	1	25.40%	9.50%	"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1 "	2	1_1_	1_1_
P	A6NHR9	0	12	0	9.20E-05	0	0.11429453	0	14	0	4.70%	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2 	1	0_1_	0_1_
P	Q9UQ88-10	1	0	1.92E-05	0	0.09395635	0	1	0	3.90%	0	Isoform 4 of Cyclin-dependent kinase 11A OS=Homo sapiens GN=CDK11A 	1	1_0_	1_0_
P	Q6UB35	5	3	4.31E-05	4.04E-05	0.09395635	0.07398939	5	3	3.90%	3.10%	"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1 "	2	1_1_	1_1_
P	Q8WVJ2	3	0	1.61E-04	0	0.7458222	0	3	0	24.20%	0	NudC domain-containing protein 2 OS=Homo sapiens GN=NUDCD2 PE=1 SV=1 	1	1_0_	1_0_
P	tr|H7C3L7|H7C3L7_HUMAN	1	0	3.47E-05	0	0.12979591	0	1	0	5.30%	0	DnaJ homolog subfamily C member 2 (Fragment) OS=Homo sapiens GN=DNAJC2 PE=4 SV=1 	1	1_0_	1_0_
P	P41217-3	1	0	2.87E-05	0	0.1324004	0	1	0	5.40%	0	Isoform 3 of OX-2 membrane glycoprotein OS=Homo sapiens GN=CD200 	1	1_0_	1_0_
P	A6NHQ2	0	9	0	3.96E-04	0	0.633052	0	10	0	21.30%	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=1 	1	0_1_	0_1_
P	P41217-2	1	0	3.14E-05	0	0.14551294	0	1	0	5.90%	0	Isoform 2 of OX-2 membrane glycoprotein OS=Homo sapiens GN=CD200 	1	1_0_	1_0_
P	tr|Q5TC51|Q5TC51_HUMAN	4	0	1.46E-04	0	0.3335215	0	4	0	12.50%	0	"RUN and FYVE domain containing 2, isoform CRA_b OS=Homo sapiens GN=RUFY2 PE=2 SV=1 "	1	1_0_	1_0_
P	Reverse_sp|Q9NZL9-4|MAT2B_HUMAN	1	0	2.76E-05	0	0.15345323	0	1	0	6.20%	0	Isoform 4 of Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens GN=MAT2B 	1	1_0_	1_0_
P	Q8N8S7	11	8	2.00E-04	2.45E-04	0.64058983	0.21898961	14	11	21.50%	8.60%	Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2 	2	1_1_	1_1_
P	tr|Q5SW98|Q5SW98_HUMAN	1	0	6.44E-05	0	0.3489629	0	1	0	13.00%	0	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (Fragment) OS=Homo sapiens GN=PIK3C2B PE=2 SV=1 	1	1_0_	1_0_
P	tr|C9JJT5|C9JJT5_HUMAN	7	7	0.001093954	0.001708378	1.7797134	1.7797134	7	7	44.40%	44.40%	Protein ATP5J2-PTCD1 OS=Homo sapiens GN=ATP5J2-PTCD1 PE=2 SV=2 	2	1_1_	1_1_
P	tr|E9PC71|E9PC71_HUMAN	2	0	1.45E-04	0	0.17219532	0	3	0	6.90%	0	Hippocalcin-like protein 1 OS=Homo sapiens GN=HPCAL1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|Q5T6N2|Q5T6N2_HUMAN	4	0	6.13E-05	0	0.15345323	0	5	0	6.20%	0	Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 PE=4 SV=2 	1	1_0_	1_0_
P	contaminant_GR78_MOUSE	113	70	0.001906845	0.001830965	2.5727282	1.7605777	148	91	55.30%	44.10%	owl|P20029| 78 KD GLUCOSE REGULATED PROTEIN PRECURSOR (GRP 78) (IMMUNOGLOBULIN... 	2	1_1_	1_1_
P	Q8N1G0-2	0	1	0	1.19E-05	0	0.05681753	0	1	0	2.40%	Isoform 2 of Zinc finger protein 687 OS=Homo sapiens GN=ZNF687 	1	0_1_	0_1_
P	P42285	0	1	0	1.26E-05	0	0.049542427	0	1	0	2.10%	Superkiller viralicidic activity 2-like 2 OS=Homo sapiens GN=SKIV2L2 PE=1 SV=3 	1	0_1_	0_1_
P	O60341-2	0	11	0	1.65E-04	0	0.455459	0	11	0	16.30%	Isoform 2 of Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A 	1	0_1_	0_1_
P	tr|B4DGX2|B4DGX2_HUMAN	0	2	0	7.60E-05	0	0.17219532	0	2	0	6.90%	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens GN=PIP4K2A PE=2 SV=1 	1	0_1_	0_1_
P	Q99816	2	0	4.33E-05	0	0.20781386	0	2	0	8.20%	0	Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=1 SV=2 	1	1_0_	1_0_
P	tr|F8VZX2|F8VZX2_HUMAN	18	31	5.78E-04	0.001929624	1.4888573	2.4119291	22	47	39.60%	53.30%	Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=2 SV=1 	2	1_1_	1_1_
P	tr|B4DQI6|B4DQI6_HUMAN	0	7	0	5.86E-04	0	0.34276497	0	8	0	12.80%	Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=2 SV=1 	1	0_1_	0_1_
P	tr|E7EPF5|E7EPF5_HUMAN	1	0	5.86E-05	0	0.2705741	0	1	0	10.40%	0	Cytoplasmic protein NCK2 (Fragment) OS=Homo sapiens GN=NCK2 PE=2 SV=1 	1	1_0_	1_0_
P	Q99829	12	0	2.51E-04	0	0.23879659	0	16	0	9.30%	0	Copine-1 OS=Homo sapiens GN=CPNE1 PE=1 SV=1 	1	1_0_	1_0_
P	tr|I3L167|I3L167_HUMAN	4	2	6.31E-05	4.93E-05	0.08642566	0.08642566	4	2	3.60%	3.60%	Coronin OS=Homo sapiens GN=CORO7-PAM16 PE=2 SV=1 	2	1_1_	1_1_
P	Q7L311	5	4	6.68E-05	1.04E-04	0.30617094	0.13501084	5	5	11.60%	5.50%	Armadillo repeat-containing X-linked protein 2 OS=Homo sapiens GN=ARMCX2 PE=2 SV=1 	2	1_1_	1_1_
P	tr|F8W020|F8W020_HUMAN	0	7	0	4.46E-04	0	0.5776112	0	7	0	19.80%	Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens GN=NAP1L1 PE=2 SV=1 	1	0_1_	0_1_
P	Q99832	47	24	0.001025744	8.74E-04	1.8641782	1.1527817	66	36	45.70%	33.30%	T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2 	2	1_1_	1_1_
P	tr|E5RHP2|E5RHP2_HUMAN	1	0	8.19E-05	0	0.22179961	0	1	0	8.70%	0	Protein FAM114A2 (Fragment) OS=Homo sapiens GN=FAM114A2 PE=2 SV=1 	1	1_0_	1_0_
P	tr|C9JEV6|C9JEV6_HUMAN	8	5	2.59E-04	3.15E-04	0.503142	0.28528666	9	7	17.70%	10.90%	N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=2 SV=3 	2	1_1_	1_1_
